SEC_TERM,COURSE_SECTIONS_ID,SEC_STATUS,SEC_COMMENTS,SEC_PRINTED_COMMENTS,Start Date,Start Month,Start Day,Start Year,SEC_START_DATE,End Date,End Month,End Day,End Year,SEC_END_DATE,SEC_SUBJECT,SEC_COURSE_NO,SEC_NO,SEC_SHORT_TITLE,SEC_MIN_CRED,Military Start,CSM_START_TIME,Military End,CSM_END_TIME,CSM_MONDAY,CSM_TUESDAY,CSM_WEDNESDAY,CSM_THURSDAY,CSM_FRIDAY,CSM_SATURDAY,CSM_SUNDAY,CSM_BLDG,CSM_ROOM,CSM_INSTR_METHOD,SEC_FACULTY_INFO,STUDENTS_AND_RESERVED_SEATS,SEC_CAPACITY,SEC_SCHED_CAPACITY,WAITLIST,XL_CAPACITY,XL_WAITLIST_MAX,CHARGE_AMT_1,CHARGE_AMT_2,CHARGE_AMT_3,AR_CODE_2,AR_CODE_3,sect_AW,sect_FAR,sect_HIS,sect_LIT,sect_CEA,sect_CL,sect_CD,sect_ER,sect_PHL,sect_THE,sect_FYC,sect_GD,sect_ILC,sect_IW,sect_ND,sect_NS,sect_OC,sect_PR,sect_QA,sect_SL,sect_SS,sect_WI,sect_PS,PREREQ,SEC_FACULTY_CONSENT_FLAG,SEC_PETITION_REQD_FLAG,SEC_HIDE_IN_CATALOG,CSM_START_DATE,CSM_END_DATE,NEEDS_BUILD,SEC_OVERRIDE_CRS_REQS_FLAG,SEC_OVR_PREREG_START_DATE,SEC_OVR_ADD_START_DATE,SEC_OVR_DROP_GR_REQD_DATE,SEC_OVR_DROP_END_DATE,SEC_ACAD_LEVEL,SEC_NO_WEEKS,SEC_XLIST,SEC_GRADE_SCHEME,SEC_CRED_TYPE,SEC_REG_RETAKE_POLICY,SEC_BILLING_CRED,SEC_BILLING_METHOD,SEC_BILLING_PERIOD_TYPE,SEC_MIN_ENROLL,SEC_ONLY_PASS_NOPASS_FLAG,SEC_ALLOW_PASS_NOPASS_FLAG,SEC_ALLOW_AUDIT_FLAG,SEC_ALLOW_WAITLIST_FLAG,SEC_WAITLIST_MAX,SEC_WAITLIST_NO_DAYS,SEC_CLOSE_WAITLIST_FLAG,CSM_ROOM_SCHED_TERM,SEC_SYNONYM,SEC_COURSE,SEC_NAME,,,SEC_MEETING_INFO,,SEC_FIRST_MEETING_DATE,SEC_LAST_MEETING_DATE,Name
2024SP,20419,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,BI,311,A,Ecology,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SIMP,106,LEC,T. Almquist,10,24,24,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19585,2666,BI-311-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Simperman Hall, Room 106",,Jan 17 2024,May  8 2024,SIMP 106
2024SP,20436,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,CH,102,B,General Chemistry II,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,OCON,107,LEC,D. Hitt,30,31,31,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19602,100,CH-102-B,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, O'Connell Hall, Room 107",,Jan 17 2024,May  8 2024,OCON 107
2024SP,20448,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,CH,302,A,Organic Chemistry II,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,OCON,102,LEC,C. Pharr,27,27,30,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19614,102,CH-302-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, O'Connell Hall, Room 102",,Jan 17 2024,May  8 2024,OCON 102
2024SP,20453,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,CH,354,A,Biochemistry II,4.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SIMP,331,LEC,C. Carpenter,18,24,24,,,,70.00,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,4.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19619,1653,CH-354-A,,,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Simperman Hall, Room 331 (more)...",,Jan 17 2024,May  9 2024,SIMP 331
2024SP,20457,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,CH,392,A,Physical Chemistry,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SIMP,231,LEC,J. Rowley,3,16,18,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,,19623,150,CH-392-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Simperman Hall, Room 231",,Jan 17 2024,May  8 2024,SIMP 231
2024SP,20346,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,CS,241,A,Networking Fundamentals,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SIMP,120,LEC,S. Scott,7,20,20,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19512,2479,CS-241-A,,,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Simperman Hall, Room 120",,Jan 17 2024,May  8 2024,SIMP 120
2024SP,20361,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,ENGR,402,A,Environmental Engineering,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SIMP,114,LEC,S. Bodine,9,24,24,,,,25.00,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19527,250,ENGR-402-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Simperman Hall, Room 114",,Jan 17 2024,May  8 2024,SIMP 114
2024SP,20480,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,ENLT,383,A,20th Century British Lit,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SIMP,234,LEC,L. Graham,13,20,20,,,,,,,,,-,-,-,LIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,,19646,337,ENLT-383-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Simperman Hall, Room 234",,Jan 17 2024,May  8 2024,SIMP 234
2024SP,20658,C,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,GNDR,258,A,Theology & Gender,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,LEC,J. Ries,0,25,25,,,,,,,,,-,-,-,-,-,CL,CD,-,-,THE,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,694,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19820,2081,GNDR-258-A,,,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Room to be Announced",,Jan 17 2024,May  9 2024, 
2024SP,20368,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,MA,112,A,Precalculus: Function & Graphs,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,CENG,201,LEC,M. Keeffe,8,20,20,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,QA,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19534,300,MA-112-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Civil Engineering Building, Room 201",,Jan 17 2024,May  8 2024,CENG 201
2024SP,20369,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,MA,117,A,Diff Equations and Lin Algebra,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SIMP,314,LEC,A. Szpilka,23,24,24,,,,15.00,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,QA,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19535,36,MA-117-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Simperman Hall, Room 314",,Jan 17 2024,May  8 2024,SIMP 314
2024SP,20370,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,MA,122,A,Integral Calculus,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SIMP,108,LEC,M. Trudnowski,7,24,24,,,,30.00,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19536,152,MA-122-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Simperman Hall, Room 108",,Jan 17 2024,May  8 2024,SIMP 108
2024SP,20373,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,MA,141,A,Intro to Mathematical Modeling,4.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,OCON,101,LEC,K. Cline,17,30,30,,,,30.00,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,4.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19539,1917,MA-141-A,,,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, O'Connell Hall, Room 101 (more)...",,Jan 17 2024,May  9 2024,OCON 101
2024SP,20397,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,MA,401,A,Abstract Algebra & Modern Geom,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,OCON,119,LEC,J. Fasteen,7,20,20,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,,19563,343,MA-401-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, O'Connell Hall, Room 119",,Jan 17 2024,May  8 2024,OCON 119
2024SP,20603,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,PHIL,202,A,Medieval Philosophy,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,OCON,106,LEC,W. Smillie,21,24,25,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PR,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19766,551,PHIL-202-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, O'Connell Hall, Room 106",,Jan 17 2024,May  8 2024,OCON 106
2024SP,20329,C,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,SP,204,A,Intermediate Spanish IV,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,LEC,R. Hallows,0,20,20,,,,20.00,,,,,-,-,-,-,-,-,CD,-,-,-,-,GD,-,-,ND,-,OC,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19495,383,SP-204-A,,,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Room to be Announced",,Jan 17 2024,May  9 2024, 
2024SP,20483,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,TH,101,A,Theological Foundations,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,STCH,140,LEC,E. Meyer,26,26,25,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,N,Y,Y,10,3,Y,2024SP,19649,426,TH-101-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, St. Charles Hall, Room 140",,Jan 17 2024,May  8 2024,STCH 140
2024SP,20490,C,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,TH,254,A,Theology and Science,3.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,LEC,J. Ries,0,20,24,,,,,,,,,-,-,-,-,-,-,-,-,-,THE,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19656,1753,TH-254-A,,,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Room to be Announced",,Jan 17 2024,May  9 2024, 
